GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2017,2017,2017,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,0.0,0,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2012,2012,2012,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,165.46387,165.5,,
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,2017,2017,2017,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,1642.0,1642 [1182-2121],1182.0,2121.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2006,2006,2006,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,0.17971,0.2,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2005,2005,2005,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,3652.34525,3652.3,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015,2015,2015,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,116.86497,117,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2001,2001,2001,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,24.13283,24.1,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2018,2018,2018,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,1029.0,1029 [236-2180],236.0,2180.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1991,1991,1991,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,17.21854,17.2 [12.7-23.2],12.74616,23.24817
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015,2015,2015,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,3659.86319,3660,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1987,1987,1987,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,98.83439,98.8 [92.2-105.9],92.20377,105.94652
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1985,1985,1985,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,18406.0,18 406 [17 093-19 749],17093.0,19749.0
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1986,1986,1986,AMR,Americas,HTI,Haiti,SEX,SEX_MLE,Male,119.73499,119.7 [111.9-128.0],111.88475,128.00172
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2003,2003,2003,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,3.57041,3.6,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2004,2004,2004,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.07466,0.1,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2004,2004,2004,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0,0,,
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-among-children-ages-5-to-9-years-%28per-1000-children-aged-5%29,1990,1990,1990,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,17.87729,17.9 [15.3-20.8],15.34374,20.84162
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2001,2001,2001,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,622.17166,622.2,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1970,1970,1970,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,162.73911,162.7 [149.6-177.7],149.59086,177.66461
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2003,2003,2003,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,5.47875,5.5,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2000,2000,2000,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,795.0,795 [414-1210],414.0,1210.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1998,1998,1998,AMR,Americas,HTI,Haiti,SEX,SEX_MLE,Male,12.10444,12.1 [9.3-15.6],9.34176,15.59968
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2021,2021,2021,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,2739.27389,2739,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2011,2011,2011,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,0.08401,0.1,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2002,2002,2002,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00117,0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2005,2005,2005,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.06014,0.1,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1994,1994,1994,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,1320.0,1320 [991-1734],991.0,1734.0
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,2012,2012,2012,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,15054.0,15 054 [13 562-16 916],13562.0,16916.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2017,2017,2017,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.30211,0.3,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2014,2014,2014,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.06122,0.1,,
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-mortality-rate-%28per-1000-live-births%29,2020,2020,2020,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,24.97254,25.0 [16.9-37.0],16.94036,36.95589
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1962,1962,1962,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,267.47943,267.5 [236.6-302.6],236.63053,302.58437
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2009,2009,2009,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,4.81138,4.8,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2012,2012,2012,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.25977,0.3,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1999,1999,1999,AMR,Americas,HTI,Haiti,SEX,SEX_MLE,Male,114.42244,114.4 [105.6-123.8],105.57333,123.7867
