GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
TB_ret_rel_labconf,"Relapse cases: Pulmonary, bacteriologically confirmed",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/relapse-cases-pulmonary-bacteriologically-confirmed,2021,2021,2021,AMR,Americas,HTI,Haiti,,,,495.0,495,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2007,2007,2007,AMR,Americas,HTI,Haiti,,,,59.0,59 [28-102],28.0,102.0
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2015,2015,2015,AMR,Americas,HTI,Haiti,,,,8.5,8.5,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2005,2005,2005,AMR,Americas,HTI,Haiti,,,,14311.0,14311,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2007,2007,2007,AMR,Americas,HTI,Haiti,,,,5600.0,5600 [2600-9600],2600.0,9600.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2018,2018,2018,AMR,Americas,HTI,Haiti,,,,176.0,176 [133-223],133.0,223.0
TB_ret_rel,Relapse cases (pre-2013 definition),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/relapse-cases-%28pre-2013-definition%29,2007,2007,2007,AMR,Americas,HTI,Haiti,,,,309.0,309,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2022,2022,2022,AMR,Americas,HTI,Haiti,,,,69.0,69,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2021,2021,2021,AMR,Americas,HTI,Haiti,,,,94.0,94,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2022,2022,2022,AMR,Americas,HTI,Haiti,,,,22.0,22 [17-29],17.0,29.0
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2015,2015,2015,AMR,Americas,HTI,Haiti,,,,91.0,91,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2009,2009,2009,AMR,Americas,HTI,Haiti,,,,23.0,23,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2000,2000,2000,AMR,Americas,HTI,Haiti,,,,270.0,270 [129-462],129.0,462.0
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2020,2020,2020,AMR,Americas,HTI,Haiti,,,,19000.0,19000 [14000-24000],14000.0,24000.0
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2009,2009,2009,AMR,Americas,HTI,Haiti,,,,67.0,67,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2011,2011,2011,AMR,Americas,HTI,Haiti,,,,220.0,220 [140-318],140.0,318.0
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2013,2013,2013,AMR,Americas,HTI,Haiti,,,,86.0,86,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2014,2014,2014,AMR,Americas,HTI,Haiti,,,,37.0,37 [27-49],27.0,49.0
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2013,2013,2013,AMR,Americas,HTI,Haiti,,,,71.0,71,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2008,2008,2008,AMR,Americas,HTI,Haiti,,,,61.0,61 [37-120],37.0,120.0
